value,rentm,bdrms,non_bdrms,condition,coopcond,elevator,agperswt,borough,sub_borough,income,race,income_tile,owned,year
9999999,2650,2,1,2,1,2,18938192,3,5,1,1,3,0,2011
9999999,6866,3,1,2,1,1,18576600,3,3,0,1,1,0,2011
9999999,2100,2,1,2,1,2,17129884,3,5,1,1,3,0,2011
9999999,565,1,0,2,1,2,54140344,3,6,0,3,1,0,2011
9999999,1000,1,0,2,1,2,633907,3,8,1,2,3,0,2011
9999999,370,3,2,2,1,1,46382592,3,7,1,2,3,0,2011
9999999,1400,4,1,2,1,1,62321380,3,7,1,2,3,0,2011
9999999,228,3,1,2,1,2,32775138,3,8,1,2,3,0,2011
185000,99999,2,2,2,3,1,30378084,3,6,1,1,3,1,2011
9999999,3000,4,1,2,1,1,61498496,3,7,1,4,3,0,2011
9999999,1563,2,1,2,1,2,59051540,3,10,0,4,1,0,2011
9999999,1000,3,1,2,1,1,49197764,3,8,1,2,3,0,2011
9999999,1500,1,0,3,1,2,18736204,3,2,1,1,3,0,2011
9999999,890,3,0,2,3,1,17599688,3,8,0,2,1,0,2011
350000,99999,3,1,2,3,1,52347664,3,10,1,1,3,1,2011
700000,99999,2,1,2,3,1,37445024,3,1,1,1,3,1,2011
9999999,560,3,1,2,1,2,3143400,3,8,0,2,1,0,2011
9999999,2200,1,0,2,1,1,41506244,3,3,0,3,1,0,2011
500000,99999,2,1,2,3,1,21861640,3,4,0,1,1,1,2011
9999999,994,4,1,2,1,1,35114176,3,10,0,3,1,0,2011
9999999,1014,3,0,2,1,2,93225968,3,8,0,2,1,0,2011
9999999,2250,2,1,2,1,1,41304088,3,10,1,2,3,0,2011
800000,99999,3,1,2,3,1,28056678,3,4,1,1,3,1,2011
9999999,1501,3,1,2,1,1,19340500,3,3,0,1,1,0,2011
700000,99999,2,2,2,3,1,15189042,3,6,0,1,1,1,2011
9999999,2080,1,1,2,2,1,19340500,3,3,1,1,3,0,2011
9999999,1950,1,1,2,1,1,20932862,3,5,0,1,1,0,2011
9999999,1545,2,0,3,1,2,18736204,3,2,0,1,1,0,2011
350000,99999,3,2,2,3,1,20025740,3,5,1,1,3,1,2011
950700,99999,1,1,2,3,1,15189042,3,6,1,1,3,1,2011
9999999,1200,3,1,2,1,1,33133924,3,3,0,4,1,0,2011
9999999,1584,2,2,2,1,2,43402800,3,10,0,3,1,0,2011
9999999,146,3,1,2,1,1,16787558,3,9,1,3,3,0,2011
9999999,2300,2,0,2,1,2,37472408,3,2,0,1,1,0,2011
480000,99999,2,1,2,3,1,22620252,3,3,0,1,1,1,2011
9999999,1800,1,0,2,1,1,32163754,3,2,1,1,3,0,2011
5162488,99999,4,1,2,3,1,37050020,3,5,1,1,3,1,2011
9999999,450,2,1,2,1,2,1493975,3,10,0,3,1,0,2011
9999999,2350,1,0,2,3,1,18825748,3,1,1,1,3,0,2011
9999999,1100,2,0,2,1,1,19079532,3,4,1,1,3,0,2011
395000,99999,2,1,2,3,2,41506244,3,2,1,4,3,1,2011
5162488,99999,4,2,2,2,1,87331504,3,5,1,1,3,1,2011
9999999,6866,3,2,2,1,1,59735080,3,5,1,1,3,0,2011
9999999,1860,2,2,3,1,2,21201052,3,6,0,1,1,0,2011
9999999,2800,2,0,2,3,1,16081877,3,2,1,1,3,0,2011
9999999,1230,2,0,3,1,2,85518128,3,2,0,4,1,0,2011
9999999,900,2,1,2,1,2,2469852,3,10,0,3,1,0,2011
9999999,2402,1,0,2,1,1,16991848,3,3,0,1,1,0,2011
9999999,3000,2,1,2,1,1,19079532,3,4,0,1,1,0,2011
9999999,750,2,1,2,1,2,38527560,3,10,0,3,1,0,2011
5162488,99999,5,3,2,3,1,49043484,3,6,1,1,3,1,2011
9999999,985,1,0,2,1,1,33037174,3,10,0,1,1,0,2011
850000,99999,3,1,2,3,1,80604424,3,5,1,1,3,1,2011
9999999,770,2,0,2,1,2,1251538,3,8,1,2,3,0,2011
2500000,99999,3,2,2,3,1,34605060,3,6,1,1,3,1,2011
1000000,99999,2,0,2,2,1,50576096,3,3,0,4,1,1,2011
9999999,302,3,1,2,1,2,500619,3,7,1,2,3,0,2011
9999999,500,3,1,3,1,2,1251538,3,10,1,1,3,0,2011
950000,99999,3,3,2,3,1,50091664,3,4,1,1,3,1,2011
1500000,99999,2,2,2,3,1,49055020,3,1,0,1,1,1,2011
9999999,2000,2,1,2,1,1,33540884,3,1,0,4,1,0,2011
1150000,99999,3,1,2,3,1,63895232,3,4,0,1,1,1,2011
9956,99999,3,1,2,3,1,17770196,3,9,1,2,3,1,2011
452000,99999,3,1,2,3,1,20792504,3,5,1,1,3,1,2011
9999999,1650,3,1,2,1,1,13957412,3,9,0,2,1,0,2011
9999999,600,3,0,2,1,1,38195292,3,2,1,4,3,0,2011
9999999,2800,3,1,2,3,1,31765660,3,4,0,1,1,0,2011
9999999,600,3,1,2,1,1,51713040,3,10,0,2,1,0,2011
9999999,617,1,1,2,1,2,50044232,3,9,1,3,3,0,2011
9999999,950,2,0,2,1,1,18256208,3,7,1,2,3,0,2011
9999999,1000,2,0,2,1,2,19340500,3,3,0,1,1,0,2011
9999999,2800,1,0,2,1,1,41506244,3,3,0,1,1,0,2011
9999999,1625,2,0,2,1,2,18736204,3,2,0,1,1,0,2011
9999999,750,2,1,2,1,1,16309136,3,10,0,3,1,0,2011
9999999,764,2,0,2,1,2,15686945,3,3,1,2,3,0,2011
9999999,1100,2,1,2,1,2,42616540,3,10,1,3,3,0,2011
9999999,356,1,0,2,1,1,17770196,3,9,1,3,3,0,2011
9999999,1709,2,1,2,1,1,18767582,3,1,1,3,3,0,2011
9999999,2400,1,0,2,1,1,18722512,3,1,1,2,3,0,2011
26000,99999,2,1,2,3,1,41418908,3,1,1,4,3,1,2011
1000000,99999,8,0,2,1,2,56113356,3,5,1,1,3,1,2011
9999999,801,2,1,2,1,2,18462144,3,8,1,2,3,0,2011
9999999,1300,3,1,2,1,1,39497184,3,10,0,3,1,0,2011
9999999,1000,3,1,2,3,1,42327008,3,8,1,2,3,0,2011
750000,99999,3,2,2,3,1,21861640,3,4,1,1,3,1,2011
9999999,1079,1,0,2,1,1,18825748,3,1,0,1,1,0,2011
